delivery_id,supplier_id,component_id,order_date,expected_delivery_date,actual_delivery_date,quantity_ordered,quantity_received,delivery_status
D0001245,S002,C0034,2024-04-30,2024-06-04,2024-06-04,3792,3792,On-Time
D0006234,S011,C0149,2024-04-30,2024-06-04,2024-06-04,5579,5579,On-Time
D0006536,S005,C0155,2024-04-30,2024-05-28,2024-05-28,33135,33135,On-Time
D0007784,S017,C0188,2024-04-30,2024-07-12,2024-07-12,86,86,On-Time
D0004518,S016,C0100,2024-04-30,2024-06-07,2024-06-08,2190,2190,Delayed
D0007299,S010,C0169,2024-04-30,2024-05-24,2024-05-24,7558,5668,Partial
D0009195,S007,C0225,2024-04-30,2024-05-30,2024-05-30,177,177,On-Time
D0003315,S019,C0073,2024-05-01,2024-06-03,2024-06-03,9500,9500,On-Time
D0000352,S004,C0016,2024-05-01,2024-05-31,2024-05-31,3481,3040,Partial
D0004221,S010,C0092,2024-05-01,2024-06-11,2024-06-12,10222,10222,Delayed
D0001919,S016,C0047,2024-05-01,2024-06-09,2024-06-09,23790,23790,On-Time
D0007243,S015,C0168,2024-05-01,2024-06-01,2024-06-02,33921,33921,Delayed
D0003995,S019,C0087,2024-05-01,2024-06-10,2024-06-10,27406,27406,On-Time
D0000170,S003,C0010,2024-05-01,2024-05-30,2024-05-30,40,40,On-Time
D0007579,S015,C0174,2024-05-01,2024-06-12,2024-06-12,6128,6128,On-Time
D0001439,S010,C0038,2024-05-01,2024-06-06,2024-06-06,4669,4669,On-Time
D0007075,S017,C0165,2024-05-01,2024-06-15,2024-06-15,35308,35308,On-Time
D0003561,S010,C0078,2024-05-01,2024-06-21,,3634,3634,Unknown
D0002671,S020,C0061,2024-05-01,2024-06-12,2024-06-25,5127,5127,Delayed
D0005953,S018,C0141,2024-05-01,2024-06-17,2024-06-17,946,946,On-Time
D0009544,S005,C0237,2024-05-01,2024-06-13,2024-06-13,351,351,On-Time
D0000602,S004,C0021,2024-05-01,2024-06-08,2024-06-09,7000,7000,Delayed
D0006130,S014,C0146,2024-05-01,2024-06-28,2024-06-28,1240,1240,On-Time
D0008089,S006,C0198,2024-05-01,2024-05-22,2024-05-22,12998,12998,On-Time
D0005074,S003,C0115,2024-05-01,2024-07-06,2024-07-08,6215,6215,Delayed
D0006096,S011,C0145,2024-05-01,2024-06-28,2024-06-28,2247,2247,On-Time
D0006058,S018,C0144,2024-05-01,2024-06-16,2024-06-16,2486,2486,On-Time
D0000657,S004,C0022,2024-05-01,2024-06-05,2024-06-06,3519,3519,Delayed
D0005272,S019,C0121,2024-05-01,2024-07-13,2024-07-13,1463,1463,On-Time
D0008767,S013,C0214,2024-05-01,2024-05-27,2024-05-27,17931,17931,On-Time
D0004862,S002,C0109,2024-05-01,2024-06-27,2024-06-28,3808,3808,Delayed
D0005208,S014,C0119,2024-05-01,2024-06-25,2024-06-25,1803,1352,Partial
D0009169,S009,C0224,2024-05-01,2024-05-31,2024-05-31,367,367,On-Time
D0002729,S019,C0062,2024-05-01,2024-05-23,2024-05-23,12662,12662,On-Time
D0009516,S004,C0236,2024-05-01,2024-05-26,2024-05-26,409,409,On-Time
D0007951,S015,C0195,2024-05-01,2024-05-28,2024-05-28,13146,13146,On-Time
D0008983,S018,C0219,2024-05-01,2024-06-05,2024-06-05,25239,23965,Partial
D0000760,S016,C0024,2024-05-02,2024-06-03,2024-06-04,4634,4634,Delayed
D0007687,S014,C0182,2024-05-02,2024-06-15,2024-06-17,55,51,Delayed
D0005439,S010,C0126,2024-05-02,2024-06-16,2024-06-16,1810,1358,Partial
D0006028,S007,C0143,2024-05-02,2024-07-05,2024-07-05,2748,2748,On-Time
D0008343,S003,C0204,2024-05-02,2024-05-24,2024-05-26,19345,19345,Delayed
D0007525,S010,C0173,2024-05-02,2024-06-01,2024-06-01,12511,12511,On-Time
D0008855,S020,C0216,2024-05-02,2024-05-29,2024-05-29,10488,10488,On-Time
D0001597,S019,C0041,2024-05-02,2024-06-12,2024-06-12,4954,4954,On-Time
D0007870,S014,C0193,2024-05-02,2024-05-22,,10527,10527,Unknown
D0005883,S019,C0139,2024-05-02,2024-06-05,2024-06-05,1798,1798,On-Time
D0008676,S009,C0212,2024-05-02,2024-05-13,2024-05-14,8808,8808,Delayed
D0008632,S007,C0211,2024-05-02,2024-05-28,2024-06-04,23142,23142,Delayed
D0003758,S013,C0082,2024-05-02,2024-06-21,2024-06-22,10340,10340,Delayed
D0007998,S005,C0196,2024-05-02,2024-06-04,2024-06-04,17171,17171,On-Time
D0003074,S018,C0068,2024-05-02,2024-05-31,2024-05-31,11375,11375,On-Time
D0009603,S009,C0239,2024-05-02,2024-05-26,2024-05-27,179,179,Delayed
D0002127,S005,C0051,2024-05-02,2024-05-26,2024-05-26,18011,18011,On-Time
D0003265,S017,C0072,2024-05-02,2024-06-21,2024-06-21,4839,4839,On-Time
D0000121,S004,C0007,2024-05-02,2024-06-12,2024-06-13,48,48,Delayed
D0005175,S002,C0118,2024-05-02,2024-06-25,2024-06-25,3157,3157,On-Time
D0006485,S008,C0154,2024-05-02,2024-06-21,2024-06-21,29035,29035,On-Time
D0005541,S003,C0129,2024-05-02,2024-06-23,2024-06-24,958,958,Delayed
D0001645,S018,C0042,2024-05-02,2024-05-28,2024-05-28,3578,3054,Partial
D0006429,S009,C0153,2024-05-02,2024-06-04,2024-06-06,23115,23115,Delayed
D0007181,S016,C0167,2024-05-02,2024-06-02,2024-06-04,22839,22839,Delayed
D0002457,S019,C0057,2024-05-02,2024-06-12,2024-06-12,8932,8932,On-Time
D0006317,S013,C0151,2024-05-02,2024-06-06,2024-06-06,10355,10355,On-Time
D0001755,S005,C0044,2024-05-02,2024-06-05,2024-06-06,22242,22242,Delayed
D0004934,S010,C0111,2024-05-02,2024-06-13,2024-06-13,10102,8892,Partial
D0008593,S019,C0210,2024-05-03,2024-05-28,2024-05-28,8883,8883,On-Time
D0008176,S015,C0200,2024-05-03,2024-05-19,2024-05-20,25056,25056,Delayed
D0007907,S011,C0194,2024-05-03,2024-05-27,2024-05-28,20014,20014,Delayed
D0008718,S009,C0213,2024-05-03,2024-05-22,2024-05-23,10647,10647,Delayed
D0008461,S005,C0207,2024-05-03,2024-05-23,2024-05-24,33888,33888,Delayed
D0000245,S010,C0014,2024-05-03,2024-06-10,2024-06-10,4507,4507,On-Time
D0000710,S020,C0023,2024-05-03,2024-06-06,2024-06-06,2883,2883,On-Time
D0005641,S007,C0132,2024-05-03,2024-06-25,2024-07-09,3428,3428,Delayed
D0004753,S016,C0106,2024-05-03,2024-06-11,2024-06-12,2547,2547,Delayed
D0004788,S010,C0107,2024-05-03,2024-06-06,2024-06-06,1207,1207,On-Time
D0000809,S018,C0025,2024-05-03,2024-06-14,2024-06-14,3249,3249,On-Time
D0000455,S003,C0018,2024-05-03,2024-06-04,2024-06-06,3428,3428,Delayed
D0008941,S012,C0218,2024-05-03,2024-05-20,2024-05-23,16211,16211,Delayed
D0005143,S008,C0117,2024-05-03,2024-06-30,2024-07-01,2522,2522,Delayed
D0004633,S017,C0103,2024-05-03,2024-06-10,2024-06-10,3207,3207,On-Time
D0002513,S018,C0058,2024-05-03,2024-06-05,2024-06-06,8265,8265,Delayed
D0004036,S013,C0088,2024-05-03,2024-05-22,2024-05-23,13924,13924,Delayed
D0005475,S013,C0127,2024-05-03,2024-06-22,2024-06-23,3579,3579,Delayed
D0009310,S006,C0229,2024-05-03,2024-06-04,2024-06-04,200,200,On-Time
D0003455,S009,C0076,2024-05-03,2024-06-12,2024-06-14,7659,7659,Delayed
D0001338,S018,C0036,2024-05-03,2024-06-10,2024-06-10,2739,2739,On-Time
D0007410,S005,C0171,2024-05-03,2024-06-08,2024-06-08,33712,33712,On-Time
D0002291,S011,C0054,2024-05-03,2024-06-12,2024-06-12,9881,9881,On-Time
D0006059,S014,C0144,2024-05-06,2024-06-21,2024-06-22,1330,1330,Delayed
D0002730,S013,C0062,2024-05-06,2024-05-29,2024-05-29,8894,8894,On-Time
D0008381,S003,C0205,2024-05-06,2024-06-05,2024-06-06,3551,3551,Delayed
D0004789,S011,C0107,2024-05-06,2024-06-08,2024-06-08,2191,2191,On-Time
D0000711,S008,C0023,2024-05-06,2024-06-08,2024-06-09,4321,4321,Delayed
D0002349,S016,C0055,2024-05-06,2024-06-14,2024-06-15,20361,20361,Delayed
D0007703,S008,C0183,2024-05-06,2024-07-01,2024-07-02,132,132,Delayed
D0008297,S003,C0203,2024-05-06,2024-06-02,2024-06-04,10218,8239,Delayed
D0003656,S002,C0080,2024-05-06,2024-06-22,2024-06-22,3534,3272,Partial
D0003759,S012,C0082,2024-05-06,2024-06-22,2024-06-22,8654,8654,On-Time
D0007411,S011,C0171,2024-05-06,2024-06-07,2024-06-08,24872,24872,Delayed
D0003316,S018,C0073,2024-05-06,2024-06-08,2024-06-08,8797,8797,On-Time
D0008048,S018,C0197,2024-05-06,2024-05-31,,8831,8831,Unknown
D0007127,S018,C0166,2024-05-06,2024-06-07,2024-06-07,13140,13140,On-Time
D0001294,S003,C0035,2024-05-06,2024-06-14,2024-06-15,4931,4931,Delayed
D0006797,S020,C0160,2024-05-06,2024-06-15,2024-06-15,49710,49710,On-Time
D0008942,S011,C0218,2024-05-06,2024-05-25,2024-05-26,12985,12985,Delayed
D0004445,S009,C0098,2024-05-06,2024-06-13,2024-06-15,3221,3221,Delayed
D0004135,S012,C0090,2024-05-07,2024-05-30,2024-05-31,16757,16757,Delayed
D0005075,S008,C0115,2024-05-07,2024-07-11,2024-07-11,1683,1683,On-Time
D0004372,S002,C0096,2024-05-07,2024-06-12,2024-06-12,2845,2845,On-Time
D0004406,S002,C0097,2024-05-07,2024-06-22,,1539,1539,Unknown
D0001193,S014,C0033,2024-05-07,2024-06-13,2024-06-13,4816,4816,On-Time
D0001598,S010,C0041,2024-05-07,2024-06-14,2024-06-14,2902,2902,On-Time
D0009366,S003,C0231,2024-05-07,2024-06-14,2024-06-16,282,282,Delayed
D0005884,S003,C0139,2024-05-07,2024-06-07,2024-06-08,1874,1874,Delayed
D0005804,S016,C0137,2024-05-07,2024-07-06,2024-07-06,1252,1252,On-Time
D0007765,S011,C0187,2024-05-07,2024-06-21,2024-06-22,86,86,Delayed
D0007526,S002,C0173,2024-05-07,2024-06-10,2024-06-10,8924,8924,On-Time
D0002234,S003,C0053,2024-05-07,2024-05-25,2024-05-26,6900,6900,Delayed
D0006743,S010,C0159,2024-05-07,2024-06-17,2024-06-17,13443,13443,On-Time
D0005642,S016,C0132,2024-05-07,2024-06-30,2024-07-01,2683,2683,Delayed
D0009517,S019,C0236,2024-05-07,2024-05-30,2024-05-31,310,310,Delayed
D0006430,S012,C0153,2024-05-07,2024-06-07,2024-06-08,9215,9215,Delayed
D0003510,S006,C0077,2024-05-07,2024-06-11,2024-06-11,11868,11868,On-Time
D0008090,S005,C0198,2024-05-07,2024-05-28,2024-05-28,11914,11914,On-Time
D0009097,S019,C0222,2024-05-07,2024-05-29,2024-05-29,13629,13629,On-Time
D0006371,S006,C0152,2024-05-07,2024-05-31,2024-05-31,17115,17115,On-Time
D0001646,S016,C0042,2024-05-08,2024-06-06,2024-06-08,4996,4996,Delayed
D0001863,S017,C0046,2024-05-08,2024-06-17,2024-06-17,15434,15434,On-Time
D0007657,S011,C0180,2024-05-08,2024-06-18,2024-06-18,87,87,On-Time
D0008633,S007,C0211,2024-05-08,2024-06-03,2024-06-03,11606,11606,On-Time
D0007580,S016,C0174,2024-05-08,2024-06-17,,18769,18769,Unknown
D0008219,S006,C0201,2024-05-08,2024-05-20,2024-05-20,14263,14263,On-Time
D0001968,S012,C0048,2024-05-08,2024-06-30,2024-07-03,17445,17445,Delayed
D0003805,S016,C0083,2024-05-08,2024-06-15,2024-06-16,3731,3731,Delayed
D0001756,S019,C0044,2024-05-08,2024-06-09,2024-06-09,13657,13657,On-Time
D0004037,S019,C0088,2024-05-08,2024-05-27,2024-05-27,5680,5680,On-Time
D0007022,S018,C0164,2024-05-08,2024-06-21,2024-06-21,17498,17498,On-Time
D0005954,S013,C0141,2024-05-08,2024-06-22,2024-06-23,1891,1891,Delayed
D0008984,S001,C0219,2024-05-08,2024-06-12,2024-06-13,10819,10819,Delayed
D0004598,S015,C0102,2024-05-08,2024-06-12,2024-06-12,2591,2591,On-Time
D0006318,S006,C0151,2024-05-08,2024-06-12,2024-06-12,15240,15240,On-Time
D0006537,S002,C0155,2024-05-08,2024-06-04,2024-06-04,40862,40862,On-Time
D0004754,S004,C0106,2024-05-08,2024-06-19,2024-06-19,3832,3832,On-Time
D0001538,S006,C0040,2024-05-08,2024-06-28,2024-06-28,2277,2277,On-Time
D0007300,S011,C0169,2024-05-08,2024-06-04,2024-06-04,27108,27108,On-Time
D0003075,S016,C0068,2024-05-08,2024-06-03,2024-06-03,14766,14766,On-Time
D0004825,S007,C0108,2024-05-08,2024-06-20,2024-06-20,5263,5263,On-Time
D0001100,S015,C0031,2024-05-08,2024-06-21,2024-06-21,7736,7736,On-Time
D0000950,S001,C0028,2024-05-08,2024-07-02,2024-07-03,8793,8793,Delayed
D0000225,S016,C0013,2024-05-08,2024-07-05,2024-07-06,74,74,Delayed
D0001143,S019,C0032,2024-05-08,2024-06-07,2024-06-07,4362,3971,Partial
D0009428,S020,C0233,2024-05-09,2024-06-18,2024-06-19,459,459,Delayed
D0002839,S010,C0064,2024-05-09,2024-06-08,2024-06-08,8347,8347,On-Time
D0006029,S010,C0143,2024-05-09,2024-07-09,2024-07-09,848,848,On-Time
D0007473,S016,C0172,2024-05-09,2024-06-10,2024-06-11,64076,64076,Delayed
D0000188,S004,C0011,2024-05-09,2024-06-15,2024-06-15,34,34,On-Time
D0007244,S004,C0168,2024-05-09,2024-06-10,2024-06-10,21681,21681,On-Time
D0009311,S002,C0229,2024-05-09,2024-06-12,2024-06-12,265,265,On-Time
D0006906,S018,C0162,2024-05-09,2024-06-13,2024-06-15,26890,26890,Delayed
D0008130,S014,C0199,2024-05-09,2024-06-01,2024-06-03,21002,21002,Delayed
D0005703,S012,C0134,2024-05-09,2024-07-03,,1886,1886,Unknown
D0006689,S002,C0158,2024-05-09,2024-06-10,,26779,26779,Unknown
D0004085,S014,C0089,2024-05-09,2024-06-07,2024-06-08,5654,5654,Delayed
D0001048,S001,C0030,2024-05-09,2024-06-18,2024-06-18,1739,1739,On-Time
D0002405,S020,C0056,2024-05-09,2024-06-14,2024-06-15,20056,20056,Delayed
D0004903,S009,C0110,2024-05-09,2024-06-19,2024-06-19,1408,1408,On-Time
D0002128,S018,C0051,2024-05-09,2024-05-30,2024-05-30,7608,7608,On-Time
D0000294,S012,C0015,2024-05-09,2024-06-13,2024-06-14,4945,4945,Delayed
D0001386,S003,C0037,2024-05-09,2024-06-30,2024-07-01,1178,1178,Delayed
D0004935,S018,C0111,2024-05-09,2024-06-16,2024-06-16,2323,2323,On-Time
D0005009,S008,C0113,2024-05-09,2024-06-03,2024-06-04,3785,3506,Delayed
D0002957,S008,C0066,2024-05-09,2024-06-13,2024-06-13,11701,11701,On-Time
D0000658,S001,C0022,2024-05-09,2024-06-11,2024-06-11,6639,6639,On-Time
D0003129,S009,C0069,2024-05-10,2024-06-18,2024-06-19,5591,5591,Delayed
D0003996,S004,C0087,2024-05-10,2024-06-21,2024-06-21,5916,5916,On-Time
D0005676,S012,C0133,2024-05-10,2024-06-03,2024-06-04,5794,5794,Delayed
D0005176,S011,C0118,2024-05-10,2024-07-06,2024-07-06,2100,2100,On-Time
D0002568,S018,C0059,2024-05-10,2024-06-21,2024-06-22,10693,9536,Delayed
D0003706,S003,C0081,2024-05-10,2024-06-14,2024-06-15,6466,6466,Delayed
D0003363,S018,C0074,2024-05-10,2024-06-21,2024-06-21,13704,13704,On-Time
D0003266,S006,C0072,2024-05-10,2024-06-29,2024-06-29,6959,6959,On-Time
D0003171,S011,C0070,2024-05-10,2024-06-25,2024-07-02,8624,8624,Delayed
D0003855,S008,C0084,2024-05-10,2024-06-30,2024-07-02,6338,6338,Delayed
D0000509,S004,C0019,2024-05-10,2024-06-23,2024-06-25,2342,2285,Delayed
D0002514,S017,C0058,2024-05-10,2024-06-12,2024-06-12,7812,6713,Partial
D0001806,S017,C0045,2024-05-10,2024-06-12,2024-06-12,11046,11046,On-Time
D0002184,S018,C0052,2024-05-10,2024-06-09,2024-06-27,11152,10078,Delayed
D0006170,S015,C0147,2024-05-10,2024-08-01,2024-08-21,2119,2119,Delayed
D0006269,S002,C0150,2024-05-10,2024-06-22,2024-06-22,32472,32472,On-Time
D0000075,S013,C0005,2024-05-10,2024-06-22,2024-06-22,52,52,On-Time
D0005769,S010,C0136,2024-05-10,2024-06-25,2024-06-25,2762,2762,On-Time
D0008413,S016,C0206,2024-05-10,2024-06-14,2024-06-16,9046,8453,Delayed
D0007748,S002,C0186,2024-05-10,2024-06-29,2024-07-04,116,116,Delayed
D0003018,S014,C0067,2024-05-10,2024-06-03,2024-06-04,12872,12872,Delayed
D0002783,S011,C0063,2024-05-10,2024-06-09,2024-06-10,8505,8505,Delayed
D0008898,S009,C0217,2024-05-10,2024-06-17,2024-06-18,22086,16589,Delayed
D0005476,S018,C0127,2024-05-10,2024-07-06,2024-07-06,2301,2301,On-Time
D0006850,S009,C0161,2024-05-10,2024-06-01,2024-06-02,22841,22841,Delayed
D0001703,S003,C0043,2024-05-10,2024-06-21,2024-06-23,4830,4830,Delayed
D0005440,S009,C0126,2024-05-10,2024-06-21,2024-06-22,5272,5272,Delayed
D0000603,S001,C0021,2024-05-10,2024-06-20,2024-06-21,6595,6595,Delayed
D0003562,S013,C0078,2024-05-10,2024-06-28,2024-06-28,11831,11831,On-Time
D0003456,S018,C0076,2024-05-13,2024-06-24,2024-06-24,11503,11503,On-Time
D0006642,S012,C0157,2024-05-13,2024-06-12,2024-06-14,14790,14790,Delayed
D0000246,S018,C0014,2024-05-13,2024-06-18,2024-06-19,1589,1589,Delayed
D0002235,S012,C0053,2024-05-13,2024-06-03,2024-06-04,12923,12923,Delayed
D0002515,S010,C0058,2024-05-13,2024-06-14,2024-06-14,12926,12926,On-Time
D0008899,S013,C0217,2024-05-13,2024-06-18,2024-06-19,20922,20922,Delayed
D0004373,S004,C0096,2024-05-13,2024-06-19,2024-06-20,4139,4139,Delayed
D0004634,S002,C0103,2024-05-13,2024-06-22,2024-06-22,1807,1807,On-Time
D0006690,S005,C0158,2024-05-13,2024-06-17,2024-06-17,19677,19677,On-Time
D0003760,S003,C0082,2024-05-13,2024-07-03,2024-07-21,9891,9891,Delayed
D0008502,S010,C0208,2024-05-13,2024-06-02,2024-06-03,10499,10499,Delayed
D0009022,S001,C0220,2024-05-13,2024-06-14,2024-06-15,8932,8932,Delayed
D0002292,S011,C0054,2024-05-13,2024-06-23,2024-06-24,10350,10350,Delayed
D0005441,S003,C0126,2024-05-13,2024-06-30,2024-07-01,2083,2083,Delayed
D0007766,S008,C0187,2024-05-13,2024-06-26,2024-06-27,27,27,Delayed
D0009255,S010,C0227,2024-05-13,2024-06-20,2024-06-20,343,343,On-Time
D0003511,S003,C0077,2024-05-13,2024-06-19,2024-06-20,4249,4249,Delayed
D0000456,S015,C0018,2024-05-13,2024-06-16,2024-06-16,3088,3088,On-Time
D0001295,S005,C0035,2024-05-13,2024-06-22,2024-06-22,6078,6078,On-Time
D0008768,S009,C0214,2024-05-13,2024-06-08,2024-06-08,28258,21194,Partial
D0000154,S005,C0009,2024-05-13,2024-07-15,2024-07-16,42,42,Delayed
D0003411,S013,C0075,2024-05-13,2024-06-12,2024-06-12,7189,7189,On-Time
D0001049,S013,C0030,2024-05-13,2024-06-25,2024-06-25,4741,4741,On-Time
D0004407,S007,C0097,2024-05-13,2024-06-27,2024-06-27,6847,6847,On-Time
D0005010,S013,C0113,2024-05-13,2024-06-08,2024-06-08,1489,1117,Partial
D0003707,S018,C0081,2024-05-13,2024-06-14,2024-06-14,14108,14108,On-Time
D0005770,S013,C0136,2024-05-13,2024-06-29,2024-06-29,3453,3453,On-Time
D0001339,S013,C0036,2024-05-14,2024-06-23,2024-06-23,4700,4700,On-Time
D0007658,S002,C0180,2024-05-14,2024-06-23,2024-06-23,189,189,On-Time
D0001144,S005,C0032,2024-05-14,2024-06-10,2024-06-10,1690,1398,Partial
D0005542,S009,C0129,2024-05-14,2024-07-05,2024-07-06,2500,2500,Delayed
D0001539,S017,C0040,2024-05-14,2024-07-05,2024-07-05,7046,7046,On-Time
D0002903,S013,C0065,2024-05-14,2024-06-27,2024-06-27,34785,34785,On-Time
D0007245,S008,C0168,2024-05-14,2024-06-15,2024-06-16,28055,28055,Delayed
D0008856,S005,C0216,2024-05-14,2024-06-12,2024-06-12,24145,20028,Partial
D0009281,S002,C0228,2024-05-14,2024-07-07,2024-07-08,354,354,Delayed
D0001969,S001,C0048,2024-05-14,2024-07-08,2024-07-08,9569,9569,On-Time
D0001807,S016,C0045,2024-05-14,2024-06-14,2024-06-14,26461,26461,On-Time
D0005955,S017,C0141,2024-05-14,2024-07-01,2024-07-02,3193,3193,Delayed
D0009336,S014,C0230,2024-05-14,2024-06-17,2024-06-19,210,187,Delayed
D0007355,S017,C0170,2024-05-14,2024-06-06,2024-06-06,13099,13099,On-Time
D0007581,S011,C0174,2024-05-14,2024-06-24,2024-06-25,32709,32709,Delayed
D0001000,S015,C0029,2024-05-14,2024-06-22,2024-06-22,10371,10371,On-Time
D0007999,S014,C0196,2024-05-14,2024-06-15,2024-06-15,8119,8119,On-Time
D0003172,S010,C0070,2024-05-14,2024-06-25,2024-06-25,2629,2629,On-Time
D0005704,S010,C0134,2024-05-14,2024-07-01,2024-07-01,2017,2017,On-Time
D0008719,S011,C0213,2024-05-14,2024-06-03,2024-06-03,32485,32485,On-Time
D0003019,S003,C0067,2024-05-14,2024-06-08,2024-06-08,9036,9036,On-Time
D0001647,S007,C0042,2024-05-14,2024-06-13,2024-06-13,4584,4584,On-Time
D0008811,S001,C0215,2024-05-14,2024-06-01,2024-06-02,9634,9634,Delayed
D0009429,S013,C0233,2024-05-14,2024-06-23,2024-06-23,233,233,On-Time
D0006270,S005,C0150,2024-05-14,2024-06-27,,21923,21923,Unknown
D0008552,S020,C0209,2024-05-15,2024-06-02,2024-06-02,10488,10488,On-Time
D0008462,S020,C0207,2024-05-15,2024-05-31,2024-05-31,11869,11869,On-Time
D0006372,S018,C0152,2024-05-15,2024-06-06,,23671,23671,Unknown
D0006538,S009,C0155,2024-05-15,2024-06-11,2024-06-12,15943,15943,Delayed
D0000353,S001,C0016,2024-05-15,2024-06-18,2024-06-19,6909,6909,Delayed
D0001757,S012,C0044,2024-05-15,2024-06-17,2024-06-18,20678,20678,Delayed
D0001864,S005,C0046,2024-05-15,2024-06-26,2024-06-26,9098,9098,On-Time
D0003212,S018,C0071,2024-05-15,2024-06-20,2024-06-20,8740,8740,On-Time
D0001440,S016,C0038,2024-05-15,2024-06-17,2024-06-17,5390,5390,On-Time
D0005643,S012,C0132,2024-05-15,2024-07-10,2024-07-11,2269,2269,Delayed
D0002350,S009,C0055,2024-05-15,2024-06-23,2024-06-24,27583,27583,Delayed
D0007412,S009,C0171,2024-05-15,2024-06-19,2024-06-19,27484,27484,On-Time
D0004904,S010,C0110,2024-05-15,2024-06-19,2024-06-19,2819,2819,On-Time
D0002958,S019,C0066,2024-05-15,2024-06-18,2024-06-19,4274,4274,Delayed
D0001920,S011,C0047,2024-05-15,2024-06-21,2024-06-22,8210,8210,Delayed
D0000604,S001,C0021,2024-05-15,2024-06-23,2024-06-25,5149,5149,Delayed
D0009098,S003,C0222,2024-05-15,2024-06-06,2024-06-08,8431,8431,Delayed
D0007952,S016,C0195,2024-05-15,2024-06-13,2024-06-14,16443,16443,Delayed
D0004038,S004,C0088,2024-05-15,2024-06-03,2024-06-03,10320,10320,On-Time
D0004790,S017,C0107,2024-05-15,2024-06-18,2024-06-18,4903,4903,On-Time
D0004086,S018,C0089,2024-05-15,2024-06-15,2024-06-15,5384,5384,On-Time
D0000761,S014,C0024,2024-05-15,2024-06-15,2024-06-17,6847,6847,Delayed
D0009227,S004,C0226,2024-05-15,2024-07-13,2024-07-13,223,223,On-Time
D0004755,S011,C0106,2024-05-15,2024-06-26,2024-06-26,2544,2544,On-Time
D0005610,S007,C0131,2024-05-15,2024-06-14,2024-06-14,1249,1249,On-Time
D0006592,S018,C0156,2024-05-16,2024-06-08,2024-06-08,17044,17044,On-Time
D0009054,S005,C0221,2024-05-16,2024-06-02,2024-06-02,14632,14632,On-Time
D0002672,S014,C0061,2024-05-16,2024-06-27,2024-06-28,25289,25289,Delayed
D0000810,S016,C0025,2024-05-16,2024-07-01,2024-07-01,2411,2411,On-Time
D0000906,S008,C0027,2024-05-16,2024-07-08,2024-07-08,2809,2809,On-Time
D0007128,S014,C0166,2024-05-16,2024-06-18,2024-06-19,46003,46003,Delayed
D0007829,S009,C0191,2024-05-16,2024-06-27,2024-06-27,28,28,On-Time
D0003909,S002,C0085,2024-05-16,2024-06-15,2024-06-15,8141,8141,On-Time
D0001101,S007,C0031,2024-05-16,2024-06-28,2024-06-28,4775,4775,On-Time
D0006171,S002,C0147,2024-05-16,2024-08-07,2024-08-07,619,619,On-Time
D0008344,S002,C0204,2024-05-16,2024-06-06,2024-06-06,21109,21109,On-Time
D0003364,S013,C0074,2024-05-16,2024-06-28,2024-06-28,3692,3692,On-Time
D0008414,S009,C0206,2024-05-16,2024-06-19,2024-06-21,12416,12416,Delayed
D0004863,S018,C0109,2024-05-16,2024-07-08,2024-07-08,3528,3528,On-Time
D0003267,S015,C0072,2024-05-16,2024-07-06,2024-07-06,11389,11389,On-Time
D0004297,S012,C0094,2024-05-16,2024-06-25,2024-06-25,3059,3059,On-Time
D0009170,S002,C0224,2024-05-16,2024-06-16,2024-06-16,127,127,On-Time
D0000559,S018,C0020,2024-05-16,2024-07-08,2024-07-08,2979,2979,On-Time
D0001494,S004,C0039,2024-05-16,2024-06-25,2024-06-25,3238,3238,On-Time
D0005992,S013,C0142,2024-05-16,2024-07-10,2024-07-10,2609,2609,On-Time
D0008677,S011,C0212,2024-05-16,2024-05-29,2024-05-29,20108,20108,On-Time
D0005885,S008,C0139,2024-05-16,2024-06-22,2024-06-22,4942,4942,On-Time
D0009367,S007,C0231,2024-05-16,2024-06-25,2024-06-25,173,173,On-Time
D0004136,S010,C0090,2024-05-16,2024-06-09,2024-06-09,6660,6660,On-Time
D0009569,S006,C0238,2024-05-17,2024-06-30,2024-07-13,150,150,Delayed
D0000659,S004,C0022,2024-05-17,2024-06-20,2024-06-20,3343,3343,On-Time
D0005076,S015,C0115,2024-05-17,2024-07-22,2024-07-22,1191,1191,On-Time
D0002458,S011,C0057,2024-05-17,2024-06-28,2024-06-28,7999,7999,On-Time
D0008943,S014,C0218,2024-05-17,2024-06-01,2024-06-03,14878,14878,Delayed
D0003563,S001,C0078,2024-05-17,2024-07-03,2024-07-11,10358,10358,Delayed
D0003609,S012,C0079,2024-05-17,2024-06-22,2024-06-22,11471,11471,On-Time
D0004675,S010,C0104,2024-05-17,2024-06-24,2024-06-24,2372,2372,On-Time
D0002129,S013,C0051,2024-05-17,2024-06-07,2024-06-07,16273,14388,Partial
D0002840,S020,C0064,2024-05-17,2024-06-15,2024-06-15,10635,10635,On-Time
D0005144,S016,C0117,2024-05-17,2024-07-12,2024-07-13,2887,2887,Delayed
D0009454,S002,C0234,2024-05-17,2024-07-02,2024-07-02,144,144,On-Time
D0009630,S015,C0240,2024-05-17,2024-07-15,2024-07-15,406,406,On-Time
D0008177,S011,C0200,2024-05-17,2024-06-05,2024-06-05,17174,17174,On-Time
D0008049,S005,C0197,2024-05-17,2024-06-12,2024-06-13,12162,12162,Delayed
D0005843,S014,C0138,2024-05-17,2024-06-22,2024-06-22,3995,3995,On-Time
